,Unnamed: 0,abstract,author,date,headline,section,source,word_count,id,candidate
1,1," ATLANTA - Rick Santorum, hoping to narrow the Republican presidential contest to a duel with Mitt Romney, put pressure on Newt Gingrich yesterday in his old home state of Georgia, suggesting that a loss here on Super Tuesday could force the former speaker out of the race. [...] the fact that Santorum flew here for two rallies yesterday between visits to Ohio and Washington state shows that this state could prove pivotal, either as the spark that revives Gingrich's chances or as the clapboard that marks the end of his up-and-down run for the White House.","Levenson, Michael",2012-03-02,"Santorum forays into Georgia, hoping to upend Gingrich",National,Boston Globe,1046.0,1,Romney
10,10, [...] the Romney team went to extraordinary lengths to avoid surprises or embarrassments in a future presidential campaign.,,2011-11-19,Deleted e-mails show need for stronger public records law,Editorial,Boston Globe,391.0,10,Romney
15,15," [...]while there is a bigger prize at stake in 2012 - the White House - Club for Growth Action has not touched the presidential race, and its major donors have contributed little to presumptive GOP nominee Mitt Romney.","Borchers, Callum",2012-06-06,Tea Party super PAC pours funds into congressional races,National,Boston Globe,770.0,15,Romney
26,26," Bork is remembered mainly for his failed bid to become a Supreme Court justice, after a contentious nomination fight that focused on his right-wing positions. Shoving aside fellow Republican and acting Governor Jane Swift in order to run in 2002 also didn't help Romney with female voters.","Vennochi, Joan",2011-08-11,Romney's woman problem,Editorial,Boston Globe,678.0,26,Romney
30,30," Aspects of his candidacy echo earlier presidential primaries in New Hampshire and give the feeling of political deja vu. When former New Hampshire Governor John H. Sununu recently attacked Gingrich on behalf of Mitt Romney for Gingrich's opposition to the 1990 budget deal that broke President George H.W. Bush's ""no new taxes"" pledge, it wasn't the first time a strong-willed New Hampshire governor went beyond a campaign's control.","Cullen, Fergus",2011-12-22,Political reincarnation: What's old is Newt again,Opinion,Boston Globe,725.0,30,Romney
39,39," William I. Koch, the Osterville summer resident and fossil fuel magnate who helped bankroll the opposition to the Cape Wind energy project, has emerged as a key backer of Mitt Romney's presidential campaign, donating $2 million to Restore Our Future, the super PAC supporting Romney's drive for the White House.","Rezendes, Michael",2012-05-22,Cape Wind foe Koch chips in for Romney,Metro,Boston Globe,927.0,39,Romney
43,43, Mitt Romney's assertion that smaller class size doesn't matter because a consulting firm noted that in foreign countries it doesn't seem to make a difference.,,2012-05-29,Candidate's assertion on class size is questionable,EditorialOpinion,Boston Globe,226.0,43,Romney
47,47," During his State of the Union address, Obama proposed requiring the country's wealthiest - those earning more than $1 million a year in wages and investment income - to pay at least 30 percent in taxes.","Healy, Beth",2012-04-14,Romney files for tax extension; liability estimated at $3.2m,National,Boston Globe,459.0,47,Romney
51,51," A Dan Wasserman editorial cartoon depicts Former MA Gov. W. Mitt Romney, who is planning to run for president again in 2012, is telling a dog named ""Romney Care"" to ""Shoo! Go home! Stop following me!""",Dan Wasserman,2011-03-01,Editorial cartoon,,Boston Globe,,51,Romney
52,52," WASHINGTON - Mitt Romney is aggressively trying to coax high-dollar donors from the sidelines, offering incentives of special access and recognition to his top fund-raisers, as he plays catch-up to President Obama in the race for money. Several key Republican fund-raisers are now clambering aboard the Romney effort, including Al Hoffman, a contributor from Florida; John Moran, a retired chairman of a New York-based investment company who was a top fund-raiser for McCain; and Cathy Bailey, a prominent fund-raiser from Kentucky who served as ambassador to Latvia.","Viser, Matt",2012-04-21,Romney offering perks in his bid for major donors,National,Boston Globe,1306.0,52,Romney
53,53," COLUMBIA, S.C. - Two of Mitt Romney's rivals, facing what could be their last opportunity to stop his march to the nomination, redoubled their efforts yesterday to cast him as a heartless executive, setting off alarms in conservative circles. Are they fair to the American people, or are the deals being cut on behalf of Wall Street institutions and very rich people? Perry has pointed to a company in Gaffney that made photo albums and a steel plant in Georgetown that he says were closed after Romney's private equity firm, Bain Capital, acquired them.","Tracy, Jan; Levenson, Michael",2012-01-12,2 Romney foes hit Bain cuts Romney foes lean hard on Bain cuts,National,Boston Globe,1147.0,53,Romney
56,56," Dean Spiliotes, an independent political analyst in New Hampshire not affiliated with any presidential candidate, said Huntsman's challenge will be to distinguish himself from Romney, because he will not appeal to the more right-wing segment of the state's Republican Party.","Schoenberg, Shira",2011-06-22,Huntsman seeks to define candidacy in N.H. primary,National,Boston Globe,744.0,56,Romney
64,64," [...] he recommends ""a managed bankruptcy"" with the federal government providing guarantees for post-bankruptcy financing.",Anonymous,2011-06-19,THE NEW Mitt Romney is not a flip-flopper,Opinion,Boston Globe,672.0,64,Romney
69,69," According to Wyatt, Paul wants to deliver a prime-time speech in Tampa and is adamant that the Republican platform call for barring acts of war without congressional approval and auditing the Federal Reserve Bank.","Borchers, Callum",2012-05-11,"Romney rules, but Paul backers still take delegate seats",National,Boston Globe,847.0,69,Romney
76,76," Rick Santorum's campaign, pushed to the brink after losing badly to Mitt Romney in Illinois, believes it has found a way to cut into Romney's delegate lead and potentially prevent the former Massachusetts governor from collecting the 1,144 delegates needed to secure the Republican presidential nomination.","Levenson, Michael",2012-03-22,Santorum seeking to coax delegates,National,Boston Globe,794.0,76,Romney
