News ID,Quote,Source Name,Source ID,Target ID,Target Name,Ann1,Ann2,Ann3,Ann4,Agreement,
apakistannews-71ecab5fcf1c0337d1c3e648a0eeafab,"They talked a bit about that (Iraq), and in the end President Obama asked President Bush how he was enjoying his new endeavor and whether they'd moved into the new house. So they talked a couple of minutes about that,",Gibbs,249744,1,George W. Bush,,,,,TRUE,
independentngonline-2fb61ff66a2ed3c250f1d4ff9e88e96f,"The new U.S. president, who came to office on the slogan of bringing change in the policies of the Bush administration, speaks of unconditional commitment to defend Israel's security,",Khamenei,139,1,George W. Bush,,,,,TRUE,
xinhuanet_en-3401747bf8d1c2833fcc8037cc85b0d2,"I view reversal of the Bush Administration's 2001 policy as an essential step to maximize the efficiency of bringing embryonic stem cell therapies to the clinic,",David Gold,59395,1,George W. Bush,NEG,,,NEG,TRUE,
CBSnews-65acd78174c36edbec8031b4118cda98,"We're invited to comment on the events of the day and along the way, we remind people that there was, indeed, good news under President Bush,",Fleischer,247210,1,George W. Bush,POS,,,POS,TRUE,
AfghanistanSun-65acd78174c36edbec8031b4118cda98,"We're invited to comment on the events of the day and along the way, we remind people that there was, indeed, good news under President Bush,",Fleischer,247210,1,George W. Bush,POS,,,POS,TRUE,
alertnet-6b8f7814a8a41c117d52955fbf76e2f0,"The responsibility for that lies first and foremost with North Korea and second with President Bush and his senior advisers, who did not empower Ambassador Hill to engage in direct talks with Pyongyang until after the North had withdrawn from the Nuclear Nonproliferation Treaty, exported nuclear technology to Syria, and tested a nuclear bomb,",Kerry,10,1,George W. Bush,NEG,,,NEG,TRUE,
thestar-ac636e30a87382a9b48edafb2c764198,"The responsibility for that lies first and foremost with North Korea and second with President Bush and his senior advisers, who did not empower Ambassador Hill to engage in direct talks with Pyongyang until after the North had withdrawn from the Nuclear Nonproliferation Treaty, exported nuclear technology to Syria, and tested a nuclear bomb,",Kerry,10,1,George W. Bush,NEG,,,NEG,TRUE,
IHT-3b596128b6e0f225fe88cb658dcba7d2,"If President Obama takes a look at what happened to President Bush, he won't want to,",Lamar Alexander,43971,1,George W. Bush,NEG,,,NEG,TRUE,
AfghanistanSun-1e2528a7bb4a59519850e6aaa46a2b7f,"After the partisan and divisive approach that President Bush took with judicial nominations, I appreciate President Obama's seriousness in making his selection,",Patrick Leahy,568,1,George W. Bush,NEG,,,NEG,TRUE,
expressindia-78c57e259fe031d0c59652c63e8a20cb,"This is the PM who went on record expressing his deep love for (former US President) George Bush. The Congress party should have included this in their election manifesto,",Karat,35127,1,George W. Bush,,,,,TRUE,
